,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,GeoFips,GeoName
38,3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9461,10234,10933,11260,12026,12970,13590,14243,14881,15969,17235,18159,18670,19546,20452,21475,22663,23974,25015,26063,26792,28561,29037,29019,29759,31238,32496,34909,36003,37067,35481,36122,37821,39601,40015,42483,45182,46498,48372,50843,41000,Oregon
39,3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27327,28451,30393,31551,32066,33043,34868,36301,38032,40219,41512,40390,42047,44210,46019,46411,48431,50378,51614,53144,56225,42000,Pennsylvania
40,4015,4306,4499,4836,5158,5547,6068,6600,7187,7868,8742,9898,10980,11812,12741,13911,14876,15811,16721,18305,19839,20316,20419,21329,22180,22728,23918,24657,25975,27552,28596,30515,31910,32958,34512,36207,37220,39236,41042,41755,40766,42945,44675,46283,46225,48165,50053,50541,52379,54850,44000,Rhode Island
41,2959,3225,3449,3792,4213,4655,4963,5472,5886,6537,7219,7965,8845,9320,10033,11059,11719,12377,13126,14137,15190,16109,16495,17316,17991,18867,19765,20755,21728,22947,23789,25152,25747,26179,26786,27906,29171,30892,32264,32962,31727,32458,34077,35572,35731,37622,39496,40404,42081,43702,45000,South Carolina
42,3108,3386,3684,4215,5310,5313,5829,5726,6477,7460,8222,8269,9646,10151,10491,11864,12143,12711,13413,13962,15060,16475,17006,18156,18737,19962,20169,22157,22582,24328,25327,26832,27637,27552,29972,31904,33672,35177,38661,40909,39395,41163,44618,45183,45245,46959,48655,48627,49554,52216,46000,South Dakota
43,3032,3264,3538,3906,4384,4778,5138,5664,6174,6943,7620,8277,9159,9696,10313,11411,12132,12918,13787,14857,15847,16709,17318,18625,19482,20357,21469,22301,23267,25141,25815,27073,27537,28096,28977,30365,31370,32897,33998,34830,34260,35653,37627,39312,39427,40801,42593,43726,44950,46900,47000,Tennessee
44,3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9983,11413,12102,12575,13546,14353,14427,14653,15494,16417,17455,17897,18956,19624,20287,21246,22397,23919,25502,26337,28135,29339,29185,29772,30688,32745,35144,36646,39271,36711,38274,41244,43397,43781,46289,46577,45616,47929,50355,48000,Texas
45,3254,3558,3855,4179,4520,4930,5341,5866,6412,7119,7748,8366,9167,9669,10116,10984,11607,12053,12511,13218,14050,15010,15656,16401,17115,17933,19019,20183,21288,22284,23078,24266,24930,25208,25739,26984,28832,31306,33123,33857,31833,32156,34200,36139,36725,38517,40867,42375,44002,46320,49000,Utah
46,3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7940,8790,9832,10600,11289,12335,13284,14182,15210,16328,17782,18233,18465,19627,20218,20977,21885,22883,23999,25667,27112,29109,30744,31241,32344,34113,34975,37099,39006,40904,40275,41444,43790,45356,45941,47802,49582,50796,51976,54173,50000,Vermont
47,3868,4157,4505,4922,5424,5924,6404,6969,7613,8514,9425,10567,11700,12535,13341,14642,15627,16577,17542,18870,20136,20840,21431,22398,23192,24098,25035,25973,27360,28992,30615,32693,33954,34455,36139,38164,40259,42494,44272,45437,44122,45496,47775,49585,48855,50754,52892,53605,55306,57799,51000,Virginia
48,4258,4400,4595,4955,5532,6152,6831,7424,8062,9101,10156,11130,12133,12769,13553,14373,15085,15917,16556,17613,19028,20222,21129,22237,22860,23600,24475,25898,27405,29531,31141,32909,33280,33478,34543,36636,37688,40359,43130,44558,41958,42676,44709,47768,48304,51518,53840,55884,58550,62026,53000,Washington
49,2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8011,8726,9268,9537,10344,10890,11295,11728,12697,13618,14608,15182,16277,16780,17480,18037,18767,19587,20453,21057,22331,23749,24504,24759,25587,26839,28554,29513,31258,31361,32320,34131,35118,34946,36153,36915,36931,38644,40873,54000,West Virginia
50,3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10034,10920,11517,12114,13285,13960,14702,15445,16269,17612,18438,18936,20179,20986,22088,23015,24129,25429,27054,28020,29648,30911,31510,32172,33421,34434,36332,37778,38910,38070,38997,41178,43034,43184,44939,46681,47550,49290,51592,55000,Wisconsin
51,3704,4038,4404,4856,5571,6317,6853,7309,8203,9361,10437,11612,12812,13066,12870,13581,14330,14387,14392,15056,16673,18147,18818,19583,20419,21034,21818,22693,24282,25741,27488,29519,31161,31546,33195,35120,38240,43567,45363,48593,43738,45714,49992,53527,52892,56708,57101,54610,56377,60361,56000,Wyoming
52,4262,4539,4788,5149,5591,6058,6514,7066,7707,8531,9508,10727,11936,12972,13925,15492,16603,17795,19157,20880,22234,22808,23125,24405,25182,26144,27462,28822,30459,32426,34162,37362,38901,38916,39693,41747,43534,46636,49086,51026,50133,52094,54111,55763,55438,57886,60566,62139,64526,67893,91000,New England
53,4391,4703,5007,5400,5860,6382,6911,7444,8113,8934,9837,10947,12159,13117,13972,15316,16338,17328,18427,20046,21576,22816,23092,24277,24900,25622,26816,28113,29564,31216,32672,35137,36356,36614,37377,39229,40869,43551,46225,47343,46199,47749,50156,52132,52468,54656,56973,58694,61506,64552,92000,Mideast
54,4060,4234,4522,4916,5481,5940,6404,7032,7773,8590,9440,10212,11160,11732,12382,13661,14494,15257,15987,17085,18326,19252,19549,20762,21513,22663,23713,24853,26105,27609,28628,30347,31115,31377,32009,33142,34149,35840,37310,38333,36844,37989,40202,41908,42443,44292,46189,47111,48679,50997,93000,Great Lakes
55,3661,3935,4204,4619,5367,5665,6191,6588,7245,8162,8968,9631,10860,11549,12073,13420,14145,14810,15572,16253,17469,18374,18849,19995,20459,21642,22495,24002,25021,26485,27362,29068,29928,30353,31461,33008,34096,35931,37977,39902,38493,39647,42357,44533,44773,46494,47830,48346,49671,52125,94000,Plains
56,3198,3469,3740,4110,4574,4994,5376,5886,6430,7192,7945,8802,9823,10407,11083,12169,12925,13611,14365,15465,16639,17472,18005,19012,19753,20605,21604,22576,23580,24965,25839,27330,28223,28646,29563,31161,32867,34862,36237,36859,35396,36474,38115,39503,39358,41273,43000,43646,45317,47337,95000,Southeast
57,3460,3763,4006,4350,4825,5309,5858,6403,6988,7864,8816,9811,11169,11844,12292,13260,14051,14240,14512,15325,16232,17157,17601,18541,19196,19896,20806,21876,23217,24649,25376,27094,28234,28270,28994,30197,32288,34726,36082,38235,35787,37047,39613,41554,42029,44367,44750,44069,46172,48499,96000,Southwest
58,3602,3956,4271,4682,5200,5733,6191,6690,7260,8164,8959,9933,11050,11664,12235,13113,13726,14156,14625,15459,16663,17606,18255,19200,20135,20928,22053,23185,24306,25987,27195,29199,30025,30032,30599,31813,33658,36102,37864,38650,36333,37095,39598,41676,42684,45306,47018,47460,49711,52384,97000,Rocky Mountain
59,4570,4855,5101,5529,6022,6638,7255,7908,8588,9557,10614,11746,12883,13513,14301,15488,16344,17120,17941,19068,20147,21119,21585,22471,22909,23537,24549,25804,27048,28880,30324,32774,33409,33582,34721,36654,38460,41133,42760,43217,41297,42670,45002,47490,47901,50862,53993,55805,58149,61378,98000,Far West
